core_num,top,down,left,right,attack,time,,,,
2,166,295,1192,3299,0,37,,,,
3,9283,857,507,565,0,37,,,,
4,664,93,1731,0,0,37,,,,
5,225,1754,1751,0,0,37,,,,
6,924,289,937,1835,0,37,,,,
7,7017,609,630,854,0,37,,,,
8,609,824,524,890,0,37,,,,
9,93,782,1739,0,0,37,,,,
0,848,257,1342,0,0,38,,,,
1,1342,163,1238,2688,0,38,,,,
2,163,163,1263,2816,0,38,,,,
3,9066,633,121,511,0,38,,,,
4,632,87,1629,0,0,38,,,,
5,257,1937,1456,0,0,38,,,,
6,793,190,930,1564,0,38,,,,
7,6758,593,0,783,0,38,,,,
8,593,593,0,829,0,38,,,,
9,87,87,1621,0,0,38,,,,
0,841,246,1379,0,0,39,,,,
1,1358,155,1235,2742,0,39,,,,
2,155,155,1251,2825,0,39,,,,
3,9233,682,106,478,0,39,,,,
4,649,95,1622,0,0,39,,,,
5,246,1917,1457,0,0,39,,,,
6,799,182,896,1577,0,39,,,,
7,6871,642,0,784,0,39,,,,
8,642,642,0,822,0,39,,,,
9,95,95,1635,0,0,39,,,,
0,1702,246,2833,0,0,40,,,,
1,3132,158,2179,4333,0,40,,,,
2,158,1932,2196,4449,0,40,,,,
3,9276,2001,793,1532,0,40,,,,
4,678,116,2917,0,0,40,,,,
5,246,2322,2960,0,0,40,,,,
6,2162,1543,1614,2391,0,40,,,,
7,7770,629,1077,2682,0,40,,,,
8,629,2427,1039,2725,0,40,,,,
9,116,1455,2943,0,0,40,,,,
0,837,225,1389,0,0,41,,,,
1,1363,157,1235,2777,0,41,,,,
2,157,157,1249,2859,0,41,,,,
3,9267,631,112,500,0,41,,,,
4,659,95,1641,0,0,41,,,,
5,225,1896,1480,0,0,41,,,,
6,800,192,933,1588,0,41,,,,
7,6940,594,0,784,0,41,,,,
8,594,594,0,820,0,41,,,,
9,95,95,1642,0,0,41,,,,
0,842,237,1384,0,0,42,,,,
1,1371,151,1229,2751,0,42,,,,
2,151,151,1243,2863,0,42,,,,
3,9261,669,101,480,0,42,,,,
4,651,94,1631,0,0,42,,,,
5,237,1899,1486,0,0,42,,,,
6,798,174,901,1575,0,42,,,,
7,6928,628,0,777,0,42,,,,
8,628,628,0,816,0,42,,,,
9,94,94,1629,0,0,42,,,,
0,1775,301,3516,0,0,43,,,,
1,3933,212,2221,4967,0,43,,,,
2,212,2725,2242,4950,0,43,,,,
3,10167,2473,1166,2295,0,43,,,,
